,area,rate
2658,Indramma Nagar,-
2659,International Airport,-
2660,Izzathnagar,11225.66 
2861,Jambagh,5639.1 
2862,Janachaitanya,-
2863,Jangaon,-
2864,Jawahar nagar,5882.35 
2865,Jaya Nagar,-
2866,Kamalaprasad Nagar,4862.39 
2867,Katedhan,-
2868,Kolanupaka,-
2869,Kollur Village,4400 
2870,KRCR Colony Road,3700 
2871,Krishna Nagar Colony,-
2872,Lakeview Colony Road,-
2873,Lal Darwaza,-
2874,Laxma Reddy Nagar,-
2875,Madhapur Ayyappa Society,-
2876,Madinaguda Mythri Nagar,4375 
2877,Mahalakshmipuri Colony,4454.55 
2878,Mailardevpally,4338.24 
2879,Malikdanguda,-
2880,Mallikarjuna Nagar,-
2881,Masjid Banda,5700 
2882,Mekaguda,-
2883,Miyapur Main,5800 
2884,MLA Colony Road Number 12,-
2885,Mulugu Mandal,-
2886,Nadargul Road,-
2887,Nandagiri Hills,8500 
2888,Nandamuri Nagar,3851.85 
2889,Nedunur,-
2890,Neelima Greens Road,-
2891,Nehru Outer Ring Road,-
2892,New Bhoiguda,4500 
2893,New Cyber Valley Main Road,-
2894,New Maruthi Nagar,4726.85 
2895,NFC Nagar,-
2896,Nizampet KTR Colony,-
2897,NRSA,-
2898,Old Nallakunta,-
2899,Padmanagar Phase II,467.23 
2900,Padmasri Hills,3813.07 
2901,Phase VI LIG Flats,-
2902,Picket,4415.93 
2903,Prakash Nagar,5700 
2904,Prem Nagar,348.78 
2905,Q City Road,-
2906,Rajbhavan Road Somajiguda,5434.78 
2907,Rajender Reddy Nagar Colony,-
2908,Rameshwaram,-
2909,Ramkote,-
2910,Ramnagar Hyderabad,-
2911,Ranga Reddy,-
2912,Rein Bazaar,3333.33 
2913,Residential Plot Sadasivapet,-
2914,Road No 10 Banjara Hills,-
2915,RR Nagar,-
2916,RTC X Roads,-
2917,SAIL Colony,-
2918,Sanath Nagar Czech Colony,3411.76 
2919,Santoshnagar,3954.8 
2920,Saptagiri Colony,2651.93 
3121,Sardar Patel Nagar,4561.4 
3122,Sathamrai Village,-
3123,Shahbad,-
3124,Shalibanda,-
3125,Shastripuram Road,3848.9 
3126,Shivarampally,6646.97 
3127,Sreenagar,-
3128,Sri Ram Nagar Colony,-
3129,Sri Sai Ram Residency Kistareddypet,312.88 
3130,Srinagar Colony Main Road,783.33 
3131,Srinilaya Township,-
3132,Srinivasa Nagar West,-
3133,Tadbund,-
3134,Thakkallapally,-
3135,Timmaipally,-
3136,Tirumalgiri,-
3137,Toli Chowki Deluxe Colony,-
3138,Tolichowki Paramount Hills,-
3139,Torrur,-
3140,Uppal Hills Colony Hyderabad,-
3141,Ushkebhavi,-
3142,Vasantha Nagar,5800 
3143,Vijaywada,-
3144,Vittal Rao Nagar,11000 
3145,Whitefields,8962.96 
3146,Yakutpura,4111.11 
3147,Yousufguda Main Road,-
3148,Musheerabad,-
3149,Balamrai,-
3150,Mazidpur,-
3151,Maddur,-
3152,6th Phase KPHB,4707.11 
3153,7 Tombs Road,-
3154,Adda Gutta,8000 
3155,Addagutta Society HMT Hills Road,5116.28 
3156,Aditya Nagar Colony,-
3157,Afzal Nagar Malakpet Extension,3428.57 
3158,Afzalgunj,-
3159,AG Colony Road,-
3160,Airport Road,-
3161,Akbar Hills,-
3162,Akhilandeswari Nagar,-
3163,Alkapoor Township Hyderabad,-
3164,Alkapuri Colony,-
3165,Alluri Seetaramaraju Nagar,-
3166,Ambience Fort,-
3167,Ameenpur Plots,-
3168,Ameerpet Road,-
3169,Anand Bagh Main Road,4500 
3170,Anjali Gardens,-
3171,Anjaneya Nagar,-
3172,Annaram,-
3173,APGOs Coop HSG Society,4666.67 
3174,Arvind Nagar Colony,4500 
3176,Asbestos Colony,-
3177,Ashok Manipuri,-
3178,Ashok Vihar Colony Hyderabad,4188.14 
3179,ASRaju Nagar Vivekananda Nagar,-
3180,Aziz Bagh,474.07 
3381,Aziz Bagh Colony,-
3382,Babamma Colony,-
3383,Baghdad Colony,-
3384,Baghlingampally,4782.61 
3385,Balaji Colony,-
3386,Balaji Enclave,-
3387,Balaji Hill Colony,-
