,Name of the Circle,Name of the Ward,BJP,CPI,CPM,INC,AIMIM,TRS,TDP,YSRCP,Other Registered Parties with TSEC,Independents,Total Results declared
27,Malakpet,Ward 26 - Oldmalakpet,0,0,0,0,1,0,0,0,0,0,1
28,Malakpet,Ward 27 - Akberbagh,0,0,0,0,1,0,0,0,0,0,1
29,Malakpet,Ward 28 - Azampura,0,0,0,0,1,0,0,0,0,0,1
30,Malakpet,Ward 29 - Chavni,0,0,0,0,1,0,0,0,0,0,1
31,Malakpet,Ward 30 - Dabeerpura,0,0,0,0,1,0,0,0,0,0,1
32,Santoshnagar,Ward 31 - Rain bazar,0,0,0,0,1,0,0,0,0,0,1
33,Charminar,Ward 32 - Pathergatti,0,0,0,0,1,0,0,0,0,0,1
34,Charminar,Ward 33 - Moghalpura,0,0,0,0,1,0,0,0,0,0,1
35,Santoshnagar,Ward 34 - Talabchanchalam,0,0,0,0,1,0,0,0,0,0,1
36,Santoshnagar,Ward 35 - Gowlipura,1,0,0,0,0,0,0,0,0,0,1
37,Chandrayangutta,Ward 36 - Lalithabagh,0,0,0,0,1,0,0,0,0,0,1
38,Santoshnagar,Ward 37 - Kurmaguda,0,0,0,0,1,0,0,0,0,0,1
39,Santoshnagar,Ward 38 - I.S.Sadan,1,0,0,0,0,0,0,0,0,0,1
40,Santoshnagar,Ward 39 - Santhoshnagar,0,0,0,0,1,0,0,0,0,0,1
41,Chandrayangutta,Ward 40 - Riyasath nagar,0,0,0,0,1,0,0,0,0,0,1
42,Chandrayangutta,Ward 41 - Kanchanbagh,0,0,0,0,1,0,0,0,0,0,1
43,Chandrayangutta,Ward 42 - Barkas,0,0,0,0,1,0,0,0,0,0,1
44,Chandrayangutta,Ward 43 - Chandrayan gutta,0,0,0,0,1,0,0,0,0,0,1
45,Chandrayangutta,Ward 44 - Uppuguda,0,0,0,0,1,0,0,0,0,0,1
46,Chandrayangutta,Ward 45 - Jangammet,0,0,0,0,1,0,0,0,0,0,1
