,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Locality Name,Project Name
,Avg price per sqft,Price range per sqft,Price rise,Properties,Trend,View properties,"{""city"":""Hyderabad"",""typeAheadType"":""locality"",""templatePath"":""doT!modules/typeAhead/views/locality"",""rows"":5,""includeGoogplePlace"":true,""includeSuggestion"":true,""placeholder"":""search locality in hyderabad""}","{""city"":""Hyderabad"",""typeAheadType"":""project"",""templatePath"":""doT!modules/typeAhead/views/project"",""rows"":5,""includeGoogplePlace"":true,""includeSuggestion"":true,""placeholder"":""search project in hyderabad""}"
1,"5,213.56 / sqft","2,870 - 5,660 / sqft",-,,See trend,View 58 properties,AS Rao Nagar,
2,"5,605.14 / sqft","2,512 - 6,667 / sqft",-,,See trend,View 62 properties,Uppal,
3,"8,27.49 / sqft","2,699 - 8,897 / sqft",66.7%,,See trend,View 120 properties,Serilingampally,
4,"3,970.48 / sqft","3,290 - 4,225 / sqft",266.7%,,See trend,View 13 properties,Medchal,
5,-,-,-,,See trend,View properties,JP Darga,
6,"2,946.09 / sqft","2,882 - 2,954 / sqft",-,,See trend,View 6 properties,Nandigama,
7,"9,445.17 / sqft","667 - 17,637 / sqft",8.3%,,See trend,View 19 properties,Ameerpet,
8,"6,276.52 / sqft","1,833 - 7,527 / sqft",60.3%,,See trend,View 71 properties,Nacharam,
9,-,-,-,,See trend,View properties,Sadashivpet,
10,"3,171.81 / sqft","3,084 - 3,172 / sqft",-,,See trend,View 5 properties,Sangareddy,
11,"6,51.51 / sqft","2,317 - 8,185 / sqft",21.4%,,See trend,View 77 properties,Attapur,
12,"9,174.25 / sqft","600 - 10,331 / sqft",53.1%,,See trend,View 64 properties,Himayat Nagar,
13,"5,387.29 / sqft","1,990 - 10,714 / sqft",-27.2%,,See trend,View 32 properties,Boduppal,
14,"5,534.29 / sqft","2,308 - 6,410 / sqft",18%,,See trend,View 54 properties,Sainikpuri,
15,"4,378.56 / sqft","2,667 - 4,750 / sqft",44.9%,,See trend,View 22 properties,Kapra,
16,"12,779.22 / sqft","2,406 - 15,327 / sqft",15.4%,,See trend,View 43 properties,Jubilee Hills,
17,"5,521.94 / sqft","2,490 - 6,200 / sqft",-33.3%,,See trend,View 48 properties,Aminpur,
18,"6,340.77 / sqft","2,909 - 8,685 / sqft",43.1%,,See trend,View 33 properties,Hafeezpet,
19,"2,352.94 / sqft","2,353 / sqft",-,,See trend,View 1 properties,Gandhinagar,
20,-,-,-,,See trend,View properties,Bibinagar,
21,"3,850 / sqft","3,850 / sqft",-,,See trend,View 1 properties,Keesara,
22,"4,740.56 / sqft","2,499 - 5,100 / sqft",14%,,See trend,View 46 properties,Yapral,
23,"3,885.71 / sqft","3,800 - 4,000 / sqft",233.5%,,See trend,View 14 properties,Mokila,
24,"4,906.11 / sqft","3,077 - 5,864 / sqft",27.7%,,See trend,View 68 properties,Gajularamaram,
25,"4,250.41 / sqft","2,954 - 4,250 / sqft",-,,See trend,View 2 properties,Shankarpally Road,
26,"5,391.12 / sqft","2,143 - 5,877 / sqft",-2.4%,,See trend,View 53 properties,Malkajgiri,
27,"4,913.37 / sqft","2,917 - 5,176 / sqft",-13.2%,,See trend,View 26 properties,Kismatpur,
28,"7,872.82 / sqft","3,500 - 8,634 / sqft",1.9%,,See trend,View 65 properties,Nallagandla Gachibowli,
29,-,-,-,,See trend,View properties,BB Nagar,
30,"5,983.84 / sqft","2,182 - 7,500 / sqft",6.4%,,See trend,View 71 properties,financial District,
31,-,-,-,,See trend,View properties,Kundanpally,
32,"6,237.77 / sqft","1,725 - 6,999 / sqft",50.7%,,See trend,View 49 properties,Mehdipatnam,
33,"5,488.5 / sqft","5,000 - 6,439 / sqft",-,,See trend,View 87 properties,Nallagandla Road,
34,"8,708.06 / sqft","572 - 9,933 / sqft",-3.3%,,See trend,View 37 properties,Sanath Nagar,
35,"5,666.84 / sqft","3,350 - 6,748 / sqft",50.1%,,See trend,View 69 properties,Appa Junction Peerancheru,
36,"3,781.15 / sqft","304 - 4,132 / sqft",6.8%,,See trend,View 27 properties,Nagaram,
37,-,-,-,,See trend,View properties,Komshetpalle,
38,"4,340.92 / sqft","2,276 - 4,869 / sqft",1.6%,,See trend,View 19 properties,Bollaram,
39,"5,218.46 / sqft","3,000 - 5,492 / sqft",-28.3%,,See trend,View 40 properties,Bolarum,
40,"5,53.57 / sqft","5,000 - 5,071 / sqft",-,,See trend,View 4 properties,Aushapur,
41,"8,437.93 / sqft","1,185 - 9,281 / sqft",32.8%,,See trend,View 47 properties,Kavadiguda,
42,"6,12.31 / sqft","2,857 - 6,383 / sqft",34.2%,,See trend,View 22 properties,Nallakunta,
43,"6,159.27 / sqft","357 - 10,000 / sqft",16.1%,,See trend,View 58 properties,Gopanpally,
44,-,-,-,,See trend,View properties,Kandukur,
45,"4,492.44 / sqft","2,632 - 4,717 / sqft",5.1%,,See trend,View 40 properties,Moula Ali,
46,"3,950.68 / sqft","2,600 - 3,968 / sqft",-,,See trend,View 62 properties,Bachupally Road,
47,"4,852.48 / sqft","4,561 - 5,294 / sqft",-18.1%,,See trend,View 5 properties,Vanasthalipuram,
48,"3,558.12 / sqft","1,750 - 3,700 / sqft",-,,See trend,View 28 properties,muthangi,
49,"3,675.88 / sqft","2,050 - 4,000 / sqft",-,,See trend,View 25 properties,Kistareddypet,
50,"4,883.72 / sqft","2,437 - 5,306 / sqft",-,,See trend,View 37 properties,Old Bowenpally,
51,"7,81.52 / sqft","4,000 - 8,018 / sqft",1.9%,,See trend,View 43 properties,Rajendra Nagar,
52,"6,427.96 / sqft","3,412 - 6,983 / sqft",-20%,,See trend,View 30 properties,LB Nagar,
53,"10,176.81 / sqft","200 - 12,500 / sqft",-8.7%,,See trend,View 29 properties,Somajiguda,
54,"7,823.9 / sqft","3,333 - 8,261 / sqft",32.4%,,See trend,View 42 properties,East Marredpally,
55,"2,865.82 / sqft","2,193 - 3,425 / sqft",-17.8%,,See trend,View 6 properties,Badangpet,
56,"5,495.21 / sqft","2,786 - 6,583 / sqft",9.3%,,See trend,View 23 properties,Hyder Nagar,
57,-,-,-,,See trend,View properties,Hyderabad Narsapur Road,
58,"5,184.77 / sqft","2,449 - 8,000 / sqft",-,,See trend,View 24 properties,Trimalgherry,
59,-,-,-,,See trend,View properties,Hyderabad Degloor Road,
0,-,-,-,,See trend,View properties,Kollur Road,
1,"5,739.49 / sqft","4,889 - 8,350 / sqft",-,,See trend,View 6 properties,AS Rao Nagar,
2,"7,500 / sqft","4,375 - 10,625 / sqft",20.4%,,See trend,View 2 properties,Uppal,
3,"11,955.24 / sqft","7,153 - 15,057 / sqft",84.3%,,See trend,View 5 properties,Serilingampally,
4,"6,000 / sqft","4,800 - 6,000 / sqft",258%,,See trend,View 2 properties,Medchal,
5,-,-,-,,See trend,View properties,JP Darga,
6,"7,692.31 / sqft","3,923 - 7,692 / sqft",-,,See trend,View 4 properties,Nandigama,
7,-,-,-30.1%,,See trend,View properties,Ameerpet,
8,-,-,9.1%,,See trend,View properties,Nacharam,
9,-,-,-,,See trend,View properties,Sadashivpet,
10,"6,18.52 / sqft","6,019 / sqft",-,,See trend,View 1 properties,Sangareddy,
11,"12,500 / sqft","7,500 - 12,500 / sqft",3.4%,,See trend,View 4 properties,Attapur,
12,"2,500 / sqft","2,500 / sqft",-39.8%,,See trend,View 1 properties,Himayat Nagar,
13,"3,750 / sqft","3,750 / sqft",71.7%,,See trend,View 1 properties,Boduppal,
14,"8,218.84 / sqft","2,875 - 12,500 / sqft",-20.8%,,See trend,View 25 properties,Sainikpuri,
15,"6,914.86 / sqft","3,200 - 7,207 / sqft",-28.8%,,See trend,View 23 properties,Kapra,
16,"10,745.97 / sqft","1,833 - 16,000 / sqft",76.4%,,See trend,View 6 properties,Jubilee Hills,
17,"5,513.7 / sqft","3,800 - 8,649 / sqft",21.6%,,See trend,View 6 properties,Aminpur,
18,"13,216.04 / sqft","11,538 - 14,894 / sqft",60%,,See trend,View 2 properties,Hafeezpet,
19,-,-,-,,See trend,View properties,Gandhinagar,
20,-,-,-39.8%,,See trend,View properties,Bibinagar,
21,"4,968.38 / sqft","3,427 - 4,968 / sqft",-,,See trend,View 4 properties,Keesara,
22,"5,869.48 / sqft","3,414 - 6,624 / sqft",55.9%,,See trend,View 16 properties,Yapral,
23,"8,475.74 / sqft","4,333 - 8,889 / sqft",9%,,See trend,View 58 properties,Mokila,
24,-,-,1.8%,,See trend,View properties,Gajularamaram,
25,"5,401.24 / sqft","2,111 - 6,833 / sqft",-,,See trend,View 9 properties,Shankarpally Road,
26,"12,444.44 / sqft","12,444 / sqft",56.2%,,See trend,View 1 properties,Malkajgiri,
27,"58,924.68 / sqft","5,507 - 82,655 / sqft",128.4%,,See trend,View 49 properties,Kismatpur,
28,"8,329.76 / sqft","5,556 - 8,706 / sqft",-47.9%,,See trend,View 7 properties,Nallagandla Gachibowli,
29,-,-,-,,See trend,View properties,BB Nagar,
30,"7,866.67 / sqft","5,000 - 17,333 / sqft",-,,See trend,View 20 properties,financial District,
31,"3,583.33 / sqft","3,333 - 3,833 / sqft",-,,See trend,View 2 properties,Kundanpally,
32,"11,719.58 / sqft","11,720 / sqft",33.9%,,See trend,View 1 properties,Mehdipatnam,
33,-,-,-,,See trend,View properties,Nallagandla Road,
34,-,-,127.2%,,See trend,View properties,Sanath Nagar,
35,"10,704.69 / sqft","7,200 - 14,706 / sqft",33.9%,,See trend,View 7 properties,Appa Junction Peerancheru,
36,"3,457.07 / sqft","3,091 - 3,778 / sqft",9.3%,,See trend,View 4 properties,Nagaram,
37,-,-,-,,See trend,View properties,Komshetpalle,
38,"6,848.74 / sqft","3,450 - 6,970 / sqft",100.2%,,See trend,View 44 properties,Bollaram,
39,"7,479.95 / sqft","5,000 - 8,148 / sqft",7.3%,,See trend,View 8 properties,Bolarum,
40,"4,871.99 / sqft","3,852 - 4,937 / sqft",-13.3%,,See trend,View 18 properties,Aushapur,
41,"6,481.48 / sqft","6,111 - 6,481 / sqft",-,,See trend,View 2 properties,Kavadiguda,
42,"10,625 / sqft","10,625 / sqft",-14.7%,,See trend,View 1 properties,Nallakunta,
43,"12,268.43 / sqft","7,450 - 14,286 / sqft",-15.3%,,See trend,View 10 properties,Gopanpally,
44,-,-,-,,See trend,View properties,Kandukur,
45,"6,000 / sqft","6,000 / sqft",-19.8%,,See trend,View 1 properties,Moula Ali,
46,"5,91.76 / sqft","3,977 - 8,056 / sqft",-,,See trend,View 6 properties,Bachupally Road,
47,"7,429.75 / sqft","5,800 - 10,323 / sqft",130.4%,,See trend,View 3 properties,Vanasthalipuram,
48,-,-,-,,See trend,View properties,muthangi,
49,-,-,-,,See trend,View properties,Kistareddypet,
50,"5,000 / sqft","5,000 / sqft",-,,See trend,View 3 properties,Old Bowenpally,
51,"9,468.17 / sqft","7,500 - 10,678 / sqft",192.3%,,See trend,View 4 properties,Rajendra Nagar,
52,"6,400 / sqft","6,400 / sqft",44.8%,,See trend,View 1 properties,LB Nagar,
53,-,-,-,,See trend,View properties,Somajiguda,
54,"3,177.08 / sqft","667 - 5,688 / sqft",-,,See trend,View 2 properties,East Marredpally,
55,-,-,2.1%,,See trend,View properties,Badangpet,
56,-,-,-31.1%,,See trend,View properties,Hyder Nagar,
57,-,-,-,,See trend,View properties,Hyderabad Narsapur Road,
58,"7,152.88 / sqft","7,153 / sqft",-,,See trend,View 1 properties,Trimalgherry,
59,-,-,-,,See trend,View properties,Hyderabad Degloor Road,
0,"18,000 / sqft","1,944 - 18,000 / sqft",48.6%,,See trend,View 5 properties,Kollur Road,
1,"7,272.73 / sqft","495 - 8,000 / sqft",-,,See trend,View 11 properties,AS Rao Nagar,
2,"41,396.1 / sqft","466 - 55,000 / sqft",86.4%,,See trend,View 28 properties,Uppal,
3,"6,511.46 / sqft","119 - 8,125 / sqft",-25%,,See trend,View 8 properties,Serilingampally,
4,"4,29.95 / sqft","867 - 4,111 / sqft",123%,,See trend,View 115 properties,Medchal,
5,"3,551.14 / sqft","121 - 3,551 / sqft",133.3%,,See trend,View 155 properties,JP Darga,
6,"19,745.29 / sqft","180 - 20,000 / sqft",112.7%,,See trend,View 142 properties,Nandigama,
7,"9,133.33 / sqft","926 - 11,111 / sqft",-22.6%,,See trend,View 5 properties,Ameerpet,
8,"40,244.91 / sqft","333 - 55,000 / sqft",-15.6%,,See trend,View 11 properties,Nacharam,
9,"3,728.27 / sqft","280 - 3,934 / sqft",-,,See trend,View 143 properties,Sadashivpet,
10,"9,999 / sqft","110 - 9,999 / sqft",-,,See trend,View 83 properties,Sangareddy,
11,"13,954.07 / sqft","444 - 16,673 / sqft",-10.7%,,See trend,View 15 properties,Attapur,
12,"20,655.27 / sqft","2,367 - 20,655 / sqft",237%,,See trend,View 13 properties,Himayat Nagar,
13,"34,404.76 / sqft","369 - 44,000 / sqft",10%,,See trend,View 14 properties,Boduppal,
14,"14,280.3 / sqft","898 - 22,727 / sqft",96.2%,,See trend,View 10 properties,Sainikpuri,
15,"5,104.58 / sqft","333 - 5,222 / sqft",154.7%,,See trend,View 17 properties,Kapra,
16,"21,97.22 / sqft","898 - 27,778 / sqft",18.1%,,See trend,View 8 properties,Jubilee Hills,
17,"4,676.9 / sqft","923 - 4,822 / sqft",1038.6%,,See trend,View 17 properties,Aminpur,
18,"8,141.17 / sqft","722 - 10,556 / sqft",9.3%,,See trend,View 4 properties,Hafeezpet,
19,"5,358.85 / sqft","333 - 7,186 / sqft",-,,See trend,View 125 properties,Gandhinagar,
20,"15,945.78 / sqft","117 - 17,500 / sqft",123.9%,,See trend,View 125 properties,Bibinagar,
21,"19,527.59 / sqft","305 - 21,307 / sqft",19.9%,,See trend,View 97 properties,Keesara,
22,"4,850.97 / sqft","333 - 5,000 / sqft",-13.6%,,See trend,View 19 properties,Yapral,
23,"18,949.63 / sqft","1,111 - 56,818 / sqft",-39.7%,,See trend,View 37 properties,Mokila,
24,"45,983.47 / sqft","286 - 63,000 / sqft",151.2%,,See trend,View 11 properties,Gajularamaram,
25,"14,216.73 / sqft","240 - 15,000 / sqft",4.1%,,See trend,View 92 properties,Shankarpally Road,
26,"6,643.94 / sqft","898 - 7,955 / sqft",37.2%,,See trend,View 8 properties,Malkajgiri,
27,"2,944.44 / sqft","667 - 4,444 / sqft",-,,See trend,View 4 properties,Kismatpur,
28,"2,777.78 / sqft","2,593 - 2,778 / sqft",49.8%,,See trend,View 4 properties,Nallagandla Gachibowli,
29,"11,692.88 / sqft","462 - 11,916 / sqft",85%,,See trend,View 94 properties,BB Nagar,
30,"2,87.5 / sqft","2,088 / sqft",3.2%,,See trend,View 1 properties,financial District,
31,"3,409.09 / sqft","1,889 - 3,409 / sqft",196.9%,,See trend,View 73 properties,Kundanpally,
32,777.78 / sqft,667 - 778 / sqft,3452.6%,,See trend,View 2 properties,Mehdipatnam,
33,-,-,-,,See trend,View properties,Nallagandla Road,
34,333.33 / sqft,333 / sqft,631.5%,,See trend,View 1 properties,Sanath Nagar,
35,"8,111.11 / sqft","8,111 / sqft",-,,See trend,View 1 properties,Appa Junction Peerancheru,
36,"25,300 / sqft","393 - 26,000 / sqft",311.9%,,See trend,View 20 properties,Nagaram,
37,"1,875 / sqft","286 - 1,875 / sqft",-,,See trend,View 85 properties,Komshetpalle,
38,"2,225.88 / sqft","898 - 3,111 / sqft",2.4%,,See trend,View 10 properties,Bollaram,
39,"6,666.67 / sqft","333 - 6,667 / sqft",-26.4%,,See trend,View 6 properties,Bolarum,
40,"10,924.24 / sqft","657 - 12,500 / sqft",26.1%,,See trend,View 55 properties,Aushapur,
41,-,-,-,,See trend,View properties,Kavadiguda,
42,"8,941.32 / sqft","898 - 12,963 / sqft",27.2%,,See trend,View 3 properties,Nallakunta,
43,"32,000 / sqft","3,556 - 32,000 / sqft",3047.5%,,See trend,View 2 properties,Gopanpally,
44,"2,545.45 / sqft","389 - 9,000 / sqft",-77.1%,,See trend,View 77 properties,Kandukur,
45,"3,260 / sqft","333 - 5,150 / sqft",459.1%,,See trend,View 5 properties,Moula Ali,
46,666.67 / sqft,667 / sqft,-,,See trend,View 4 properties,Bachupally Road,
47,"36,322.97 / sqft","100 - 49,550 / sqft",842.6%,,See trend,View 22 properties,Vanasthalipuram,
48,"18,271.24 / sqft","917 - 21,000 / sqft",98.5%,,See trend,View 34 properties,muthangi,
49,"5,555.56 / sqft","5,556 / sqft",-,,See trend,View 1 properties,Kistareddypet,
50,"7,777.78 / sqft","267 - 7,778 / sqft",-,,See trend,View 5 properties,Old Bowenpally,
51,"6,574.07 / sqft","1,852 - 6,667 / sqft",48.2%,,See trend,View 12 properties,Rajendra Nagar,
52,"6,923.19 / sqft","121 - 14,205 / sqft",150.3%,,See trend,View 12 properties,LB Nagar,
53,-,-,1.4%,,See trend,View properties,Somajiguda,
54,"8,333.33 / sqft","333 - 8,333 / sqft",9.2%,,See trend,View 8 properties,East Marredpally,
55,"3,598.48 / sqft","1,761 - 3,598 / sqft",113.6%,,See trend,View 3 properties,Badangpet,
56,"34,390.91 / sqft","852 - 42,614 / sqft",-96.7%,,See trend,View 5 properties,Hyder Nagar,
57,944.44 / sqft,663 - 944 / sqft,-,,See trend,View 64 properties,Hyderabad Narsapur Road,
58,"7,539.68 / sqft","333 - 8,704 / sqft",-,,See trend,View 14 properties,Trimalgherry,
59,"1,191.94 / sqft","745 - 1,194 / sqft",-,,See trend,View 62 properties,Hyderabad Degloor Road,
0,-,-,-,,See trend,View properties,Kollur Road,
1,"5,495.06 / sqft","4,999 - 5,660 / sqft",-,,See trend,View 4 properties,AS Rao Nagar,
2,"6,923.08 / sqft","6,923 / sqft",-,,See trend,View 2 properties,Uppal,
3,-,-,-,,See trend,View properties,Serilingampally,
4,"4,153.85 / sqft","4,154 / sqft",-,,See trend,View 1 properties,Medchal,
5,-,-,-,,See trend,View properties,JP Darga,
6,-,-,-,,See trend,View properties,Nandigama,
7,-,-,-,,See trend,View properties,Ameerpet,
8,"5,181.82 / sqft","4,091 - 5,227 / sqft",-,,See trend,View 5 properties,Nacharam,
9,-,-,-,,See trend,View properties,Sadashivpet,
10,-,-,-,,See trend,View properties,Sangareddy,
11,"6,280.19 / sqft","6,280 / sqft",-,,See trend,View 1 properties,Attapur,
12,"13,114.75 / sqft","13,115 / sqft",-,,See trend,View 1 properties,Himayat Nagar,
13,-,-,-,,See trend,View properties,Boduppal,
14,"5,660.38 / sqft","5,660 / sqft",-,,See trend,View 1 properties,Sainikpuri,
15,-,-,-,,See trend,View properties,Kapra,
16,"27,777.78 / sqft","27,778 / sqft",-,,See trend,View 1 properties,Jubilee Hills,
17,"13,888.89 / sqft","13,889 / sqft",-,,See trend,View 1 properties,Aminpur,
18,-,-,-,,See trend,View properties,Hafeezpet,
19,-,-,-,,See trend,View properties,Gandhinagar,
20,-,-,-,,See trend,View properties,Bibinagar,
21,-,-,-,,See trend,View properties,Keesara,
22,-,-,-,,See trend,View properties,Yapral,
23,-,-,-,,See trend,View properties,Mokila,
24,-,-,-,,See trend,View properties,Gajularamaram,
25,-,-,-,,See trend,View properties,Shankarpally Road,
26,"4,416.67 / sqft","4,417 / sqft",-,,See trend,View 1 properties,Malkajgiri,
27,"6,176.47 / sqft","6,176 / sqft",-,,See trend,View 1 properties,Kismatpur,
28,"5,974.87 / sqft","5,800 - 6,150 / sqft",-,,See trend,View 2 properties,Nallagandla Gachibowli,
29,-,-,-,,See trend,View properties,BB Nagar,
30,-,-,-,,See trend,View properties,financial District,
31,"4,615.38 / sqft","4,615 / sqft",-,,See trend,View 1 properties,Kundanpally,
32,-,-,-,,See trend,View properties,Mehdipatnam,
33,-,-,-,,See trend,View properties,Nallagandla Road,
34,"4,222.22 / sqft","4,222 / sqft",-,,See trend,View 1 properties,Sanath Nagar,
35,"6,280.19 / sqft","6,280 / sqft",-,,See trend,View 1 properties,Appa Junction Peerancheru,
36,-,-,-,,See trend,View properties,Nagaram,
37,-,-,-,,See trend,View properties,Komshetpalle,
38,-,-,-,,See trend,View properties,Bollaram,
39,-,-,-,,See trend,View properties,Bolarum,
40,-,-,-,,See trend,View properties,Aushapur,
41,-,-,-,,See trend,View properties,Kavadiguda,
42,-,-,-,,See trend,View properties,Nallakunta,
43,-,-,-,,See trend,View properties,Gopanpally,
44,-,-,-,,See trend,View properties,Kandukur,
45,-,-,-,,See trend,View properties,Moula Ali,
46,-,-,-,,See trend,View properties,Bachupally Road,
47,"4,000 / sqft","4,000 / sqft",-,,See trend,View 1 properties,Vanasthalipuram,
48,-,-,-,,See trend,View properties,muthangi,
49,"6,168.22 / sqft","6,168 / sqft",-,,See trend,View 1 properties,Kistareddypet,
50,"7,000 / sqft","7,000 / sqft",-,,See trend,View 1 properties,Old Bowenpally,
51,-,-,-,,See trend,View properties,Rajendra Nagar,
52,"4,857.14 / sqft","4,857 / sqft",-,,See trend,View 2 properties,LB Nagar,
53,"6,476.19 / sqft","6,476 / sqft",-,,See trend,View 1 properties,Somajiguda,
54,-,-,-,,See trend,View properties,East Marredpally,
55,"3,904.76 / sqft","3,905 / sqft",-,,See trend,View 1 properties,Badangpet,
56,-,-,-,,See trend,View properties,Hyder Nagar,
57,-,-,-,,See trend,View properties,Hyderabad Narsapur Road,
58,"7,83.33 / sqft","4,624 - 7,083 / sqft",-,,See trend,View 2 properties,Trimalgherry,
59,-,-,-,,See trend,View properties,Hyderabad Degloor Road,
0,5994,"3,373 - 85,000 / sqft",-,View 1615 properties,See trend,,,Aliens Group Space Station
1,6613,"5,778 - 65,789 / sqft",-,View 689 properties,See trend,,,Incor Infrastructure One City
2,1838,"984 - 5,182 / sqft",-,View 420 properties,See trend,,,Asrithas Group Hyderabad 14th Avenue
3,5934,"2,179 - 55,000 / sqft",-,View 391 properties,See trend,,,Aliens Group Space Station 1
4,911,"722 - 7,000 / sqft",-,View 354 properties,See trend,,,Vasudaika Projects LLP Cosmo Celesse
5,793,"777 - 1,000 / sqft",-,View 278 properties,See trend,,,Builder asian properities
6,916,"667 - 8,000 / sqft",-,View 207 properties,See trend,,,CBC Projects LLP Lorven Platina
7,1459,"1,111 - 11,000 / sqft",-,View 203 properties,See trend,,,Akshita Infra Golden Pride
8,1373,"137 - 12,000 / sqft",-,View 202 properties,See trend,,,Akshita Infra Golden Ridge
9,5625,-,-,View 1 properties,See trend,,,Ace Ventures Ultima 1 Kondapur
10,1175,"999 - 10,000 / sqft",-,View 179 properties,See trend,,,Srika Projects LR Song Of The South
11,6193,"4,418 - 9,303 / sqft",-,View 165 properties,See trend,,,Aliens Group Space Stations
12,752,"100 - 6,400 / sqft",-,View 155 properties,See trend,,,Aliens Group Hub
13,1245,"1,111 - 1,388 / sqft",-,View 139 properties,See trend,,,Builder Srika Green Chips
14,1424,"777 - 11,500 / sqft",-,View 138 properties,See trend,,,HPR Gardenia
15,3068,"2,415 - 26,000 / sqft",-,View 125 properties,See trend,,,Builder New project
16,1440,"1,111 - 1,666 / sqft",-,View 120 properties,See trend,,,Haripriya Associates SLNS Hills
17,1049,"944 - 9,000 / sqft",-,View 117 properties,See trend,,,Builder HPR GARDENIA
18,2323,"1,666 - 19,600 / sqft",-,View 112 properties,See trend,,,Builder Jackpot central
19,8617,"866 - 14,000 / sqft",-,View 108 properties,See trend,,,Builder HMDA Open plots
0,"4,000 / sqft","2,917 - 4,000 / sqft",-,,See trend,View 2 properties,Beeramguda Road,
1,-,-,-,,See trend,View properties,Timmapur,
2,"8,510.36 / sqft","2,977 - 10,156 / sqft",-,,See trend,View 26 properties,West Marredpally,
3,"5,641.23 / sqft","3,333 - 6,667 / sqft",24.6%,,See trend,View 10 properties,Dilsukh Nagar,
4,"4,960.49 / sqft","2,100 - 5,903 / sqft",-53.9%,,See trend,View 40 properties,Mallapur,
5,"3,200 / sqft","3,200 / sqft",-,,See trend,View 7 properties,Dundigal,
6,"7,413.24 / sqft","3,333 - 8,000 / sqft",20.9%,,See trend,View 17 properties,Kachiguda,
7,"4,689.39 / sqft","4,000 - 5,400 / sqft",13.3%,,See trend,View 24 properties,Safilguda,
8,"8,659.19 / sqft","2,000 - 10,000 / sqft",-18.1%,,See trend,View 18 properties,Amberpet,
9,"3,200 / sqft","3,200 / sqft",-,,See trend,View 12 properties,Gandi Maisamma,
10,"1,600 / sqft","1,600 / sqft",-,,See trend,View 2 properties,Gatkeshwar,
11,"5,315.48 / sqft","4,131 - 6,381 / sqft",3.6%,,See trend,View 4 properties,Hayathnagar,
12,"12,835.41 / sqft","4,800 - 45,000 / sqft",5.9%,,See trend,View 20 properties,Kothaguda,
13,"5,11.95 / sqft","3,520 - 5,263 / sqft",-10.8%,,See trend,View 25 properties,Uppal Kalan,
14,-,-,-,,See trend,View properties,Chengicherla,
15,"4,200 / sqft","3,200 - 4,200 / sqft",-8%,,See trend,View 8 properties,ECIL,
16,"6,738.35 / sqft","3,232 - 10,019 / sqft",62.3%,,See trend,View 24 properties,Masab Tank,
17,"6,333.87 / sqft","3,000 - 8,167 / sqft",40.5%,,See trend,View 22 properties,Kothapet,
18,"4,722.9 / sqft","1,795 - 4,907 / sqft",94.1%,,See trend,View 8 properties,Neredmet,
19,"2,918.17 / sqft","2,892 - 2,954 / sqft",-,,See trend,View 3 properties,Sanga Reddy,
20,"5,361.53 / sqft","2,450 - 5,833 / sqft",-,,See trend,View 18 properties,Saroornagar,
21,"4,697.83 / sqft","350 - 5,084 / sqft",24.2%,,See trend,View 16 properties,Quthbullapur,
22,-,-,-,,See trend,View properties,Amangal,
23,"3,000 / sqft","1,917 - 3,000 / sqft",-,,See trend,View 2 properties,Bacharam,
24,"4,268.29 / sqft","4,242 - 4,268 / sqft",-,,See trend,View 2 properties,Almasguda,
25,"5,175.37 / sqft","4,851 - 5,500 / sqft",27.8%,,See trend,View 2 properties,Humayunagar,
26,-,-,-,,See trend,View properties,Sultanpur,
27,"4,358.26 / sqft","2,783 - 4,815 / sqft",-,,See trend,View 25 properties,Qutub Shahi Tombs,
28,"4,915.88 / sqft","3,043 - 5,652 / sqft",45.7%,,See trend,View 12 properties,Bowenpally,
29,"5,1.77 / sqft","3,496 - 5,641 / sqft",10%,,See trend,View 14 properties,Kushaiguda,
30,"8,136.63 / sqft","3,689 - 8,444 / sqft",11.1%,,See trend,View 42 properties,Appa Junction,
31,"5,758.62 / sqft","3,200 - 5,957 / sqft",36.7%,,See trend,View 31 properties,Neknampur,
32,"4,601.77 / sqft","4,425 - 4,602 / sqft",15.6%,,See trend,View 2 properties,B N reddy nagar,
33,-,-,-,,See trend,View properties,Rameshwaram Banda,
34,"3,921.08 / sqft","2,641 - 4,348 / sqft",-,,See trend,View 4 properties,Balapur,
35,"4,675.52 / sqft","2,559 - 4,739 / sqft",22.3%,,See trend,View 22 properties,Bowrampet,
36,"3,888.89 / sqft","3,889 / sqft",-,,See trend,View 1 properties,TurkaYamjal,
37,-,-,107.9%,,See trend,View properties,Pocharam,
38,-,-,-,,See trend,View properties,Gopal Reddy Nagar,
39,"5,326.29 / sqft","1,090 - 6,007 / sqft",-8%,,See trend,View 25 properties,Madinaguda,
