,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Locality Name,Project Name
,Avg price per sqft,Price range per sqft,Price rise,Properties,Trend,View properties,"{""city"":""Hyderabad"",""typeAheadType"":""locality"",""templatePath"":""doT!modules/typeAhead/views/locality"",""rows"":5,""includeGoogplePlace"":true,""includeSuggestion"":true,""placeholder"":""search locality in hyderabad""}","{""city"":""Hyderabad"",""typeAheadType"":""project"",""templatePath"":""doT!modules/typeAhead/views/project"",""rows"":5,""includeGoogplePlace"":true,""includeSuggestion"":true,""placeholder"":""search project in hyderabad""}"
52,"5,928.05 / sqft","5,928 / sqft",-,,See trend,View 2 properties,Bhanur,
53,-,-,-71%,,See trend,View properties,Srisailam Highway,
54,-,-,674.7%,,See trend,View properties,Tarnaka,
55,-,-,-,,See trend,View properties,Thimmapur,
56,-,-,-,,See trend,View properties,Sadasivpet,
57,"5,262.79 / sqft","2,803 - 6,486 / sqft",-20.9%,,See trend,View 5 properties,Shamirpet,
58,"5,217.36 / sqft","4,082 - 5,243 / sqft",100.1%,,See trend,View 28 properties,Ibrahimpatnam,
59,-,-,-,,See trend,View properties,Habsiguda,
0,"14,635.01 / sqft","111 - 14,857 / sqft",10.1%,,See trend,View 1921 properties,Kothur,
1,"31,915.15 / sqft","389 - 66,288 / sqft",21.6%,,See trend,View 25 properties,Kondapur,
2,"3,888.89 / sqft","1,111 - 3,889 / sqft",87.4%,,See trend,View 40 properties,Tellapur,
3,"42,797.36 / sqft","104 - 44,375 / sqft",44.7%,,See trend,View 1259 properties,Shadnagar,
4,"35,179.54 / sqft","240 - 78,125 / sqft",-62.7%,,See trend,View 369 properties,Gachibowli,
5,"90,217.46 / sqft","102 - 1,00,000 / sqft",103%,,See trend,View 1074 properties,Maheshwaram,
6,"14,732.11 / sqft","333 - 14,815 / sqft",377.3%,,See trend,View 15 properties,Kukatpally,
7,"25,6.59 / sqft","256 - 25,560 / sqft",23.4%,,See trend,View 831 properties,Tukkuguda,
8,"19,391.56 / sqft","114 - 20,000 / sqft",57.4%,,See trend,View 468 properties,Patancheru,
9,"6,60.09 / sqft","386 - 8,896 / sqft",3.5%,,See trend,View 241 properties,Miyapur,
10,"5,483.12 / sqft","386 - 5,492 / sqft",509.5%,,See trend,View 256 properties,Beeramguda,
11,"34,80.85 / sqft","522 - 34,800 / sqft",64.8%,,See trend,View 368 properties,Adibatla,
12,"23,480.9 / sqft","386 - 23,481 / sqft",-83.4%,,See trend,View 204 properties,Hitech City,
13,"13,10.42 / sqft","778 - 14,583 / sqft",470.9%,,See trend,View 24 properties,Manikonda,
14,"8,117.62 / sqft","1,136 - 9,091 / sqft",138.8%,,See trend,View 18 properties,Bachupally,
15,"7,666.67 / sqft","1,500 - 9,000 / sqft",83.5%,,See trend,View 6 properties,Nizampet,
16,"18,916.67 / sqft","500 - 22,222 / sqft",-31.6%,,See trend,View 12 properties,Madhapur,
17,"1,828.18 / sqft","386 - 11,111 / sqft",41.6%,,See trend,View 240 properties,Chandanagar,
18,"13,166.25 / sqft","232 - 13,174 / sqft",235.2%,,See trend,View 352 properties,Bhuvanagiri,
19,"48,933.74 / sqft","8,500 - 55,249 / sqft",-67.7%,,See trend,View 5 properties,Kokapet,
